,AUC,AP,Brier
Logistic Regression,0.618540319280361,0.12261380638923991,0.2346590295860392
Random Forest,0.6232854437044836,0.11933556531887111,0.16831519753071783
XGBoost,0.6135581788771195,0.11375787617857802,0.0774623319074305
